"Month","Monthly precipitation (in mm), Jan 1983 ? April 1994. London, United Kingdom."
"1983-01",38.5
"1983-02",42.4
"1983-03",61.5
"1983-04",104.5
"1983-05",166.8
"1983-06",89.7
"1983-07",85.5
"1983-08",97.3
"1983-09",76.7
"1983-10",62.0
"1983-11",98.3
"1983-12",113.6
"1984-01",51.3
"1984-02",80.1
"1984-03",81.1
"1984-04",69.8
"1984-05",108.0
"1984-06",143.8
"1984-07",106.3
"1984-08",120.8
"1984-09",149.3
"1984-10",30.9
"1984-11",71.3
"1984-12",111.1
"1985-01",88.4
"1985-02",133.2
"1985-03",131.7
"1985-04",39.0
"1985-05",68.4
"1985-06",64.7
"1985-07",68.5
"1985-08",179.8
"1985-09",63.0
"1985-10",134.0
"1985-11",149.0
"1985-12",83.9
"1986-01",44.6
"1986-02",71.5
"1986-03",59.4
"1986-04",80.7
"1986-05",69.5
"1986-06",100.9
"1986-07",113.8
"1986-08",61.4
"1986-09",236.0
"1986-10",82.7
"1986-11",50.7
"1986-12",108.3
"1987-01",64.8
"1987-02",19.6
"1987-03",68.2
"1987-04",66.2
"1987-05",68.8
"1987-06",48.7
"1987-07",34.8
"1987-08",98.6
"1987-09",72.9
"1987-10",83.4
"1987-11",114.5
"1987-12",100.7
"1988-01",34.5
"1988-02",67.0
"1988-03",49.3
"1988-04",62.9
"1988-05",73.5
"1988-06",9.6
"1988-07",120.2
"1988-08",114.7
"1988-09",61.9
"1988-10",124.1
"1988-11",116.3
"1988-12",74.4
"1989-01",53.3
"1989-02",36.2
"1989-03",56.4
"1989-04",64.0
"1989-05",84.6
"1989-06",93.2
"1989-07",23.4
"1989-08",55.8
"1989-09",58.2
"1989-10",69.1
"1989-11",133.7
"1989-12",72.2
"1990-01",66.4
"1990-02",133.0
"1990-03",59.3
"1990-04",67.6
"1990-05",125.8
"1990-06",101.4
"1990-07",144.0
"1990-08",124.4
"1990-09",118.7
"1990-10",107.3
"1990-11",105.4
"1990-12",151.4
"1991-01",51.3
"1991-02",52.0
"1991-03",111.0
"1991-04",81.0
"1991-05",89.6
"1991-06",76.3
"1991-07",99.6
"1991-08",52.0
"1991-09",34.9
"1991-10",88.8
"1991-11",91.1
"1991-12",73.6
"1992-01",93.2
"1992-02",66.3
"1992-03",53.2
"1992-04",86.8
"1992-05",55.0
"1992-06",65.8
"1992-07",204.6
"1992-08",138.4
"1992-09",150.2
"1992-10",80.4
"1992-11",162.3
"1992-12",101.8
"1993-01",111.3
"1993-02",40.9
"1993-03",50.3
"1993-04",114.3
"1993-05",59.0
"1993-06",102.1
"1993-07",91.0
"1993-08",42.4
"1993-09",135.8
"1993-10",74.5
"1993-11",61.0
"1993-12",42.8
"1994-01",84.5
"1994-02",36.3
"1994-03",60.4
"1994-04",86.1

Monthly precipitation (in mm), Jan 1983 ? April 1994. London, United Kingdom.

